Rating	JobTitle	companyname	location	Estsal	Mediansal
2.1	Data Analyst	Loot Crate –	"Los Angeles, CA"	Est. Salary $63k-$97k	The median pay of $80k is:
2.8	Data Analyst	Skillsoft –	"Norwood, MA"	Est. Salary $64k-$93k	The median pay of $78k is:
3.1	Data Analyst	M+W U.S. –	"Plano, TX"	Est. Salary $50k-$72k	The median pay of $60k is:
3.7	Data Analyst	Utilidata –	"Providence, RI"	Est. Salary $50k-$73k	The median pay of $61k is:
4.3	Data Analyst	"Bankers Healthcare Group, Inc. –"	"Davie, FL"	Est. Salary $40k-$62k	The median pay of $50k is:
4.1	Data Analyst (All Levels)	Lyft –	"San Francisco, CA"	Est. Salary $87k-$122k	The median pay of $104k is:
3.9	Data Analyst	The Federal Home Loan Bank of Chicago –	"Chicago, IL"	Est. Salary $53k-$75k	The median pay of $63k is:
3	Data Analyst	"Neustar, Inc. –"	"Orem, UT"	Est. Salary $46k-$67k	The median pay of $56k is:
3.9	CLINICAL DATA ANALYST	Moffitt Cancer Center –	"Tampa, FL"	Est. Salary $59k-$89k	The median pay of $74k is:
3.1	Data Analyst	Assurant –	"Springfield, OH"	Est. Salary $46k-$68k	The median pay of $56k is:
4.1	Data Analyst	Freedom Financial Network –	"San Mateo, CA"	Est. Salary $50k-$75k	The median pay of $62k is:
3.2	Data Analyst	Vanguard –	"Malvern, PA"	Est. Salary $45k-$64k	The median pay of $54k is:
3.6	Data Analyst	Digital Media Solutions –	"Clearwater, FL"	Est. Salary $36k-$53k	The median pay of $44k is:
3.2	Data Analyst	comScore –	"Reston, VA"	Est. Salary $58k-$82k	The median pay of $71k is:
4.9	Data Analyst	Hunter Technical Resources –	"Sandy Springs, Fulton, GA"		
4.3	Data Services Analyst	Edmunds.com –	"Santa Monica, CA"		
3.6	Data Analyst	C Space –	"Boston, MA"	Est. Salary $37k-$56k	The median pay of $46k is:
4.9	Data Analyst	Bridge Partners –	United States	Est. Salary $52k-$76k	The median pay of $63k is:
3.6	Data Analyst	First Republic Bank –	"San Francisco, CA"	Est. Salary $66k-$93k	The median pay of $79k is:
	Data Analyst	Fast Capital 360 –	"Southampton, PA"		
4.4	Data Analyst	1776 –	"Washington, DC"	Est. Salary $46k-$67k	The median pay of $57k is:
4.9	Healthcare Data Analyst	CoverMyMeds –	"Columbus, OH"	Est. Salary $54k-$79k	The median pay of $66k is:
4.4	Data Analyst - Product	Snowflake Computing –	"San Mateo, CA"	Est. Salary $58k-$86k	The median pay of $72k is:
3.7	Data Analyst	Sun Basket –	"San Francisco, CA"	Est. Salary $59k-$92k	The median pay of $74k is:
2.7	Data Analyst	Nashville General Hospital at Meharry –	"Nashville, TN"	Est. Salary $40k-$57k	The median pay of $48k is:
4.5	Data Analyst	Nexon M –	"Emeryville, CA"	Est. Salary $59k-$92k	The median pay of $74k is:
	Data Analyst	Audience Partners –	"Plymouth Meeting, PA"		
2.9	Data Analyst	Vonage –	"Scottsdale, AZ"	Est. Salary $38k-$55k	The median pay of $46k is:
4.9	Predictive Data Analyst	Hunter Technical Resources –	"Atlanta, GA"		
3.5	Data Analyst	Citi –	"Irving, TX"	Est. Salary $53k-$75k	The median pay of $63k is:
4.1	Part-Time Data Analyst	"McKinley Marketing Partners, Inc. –"	"Houston, TX"		
4	Data Analyst	Peoplenet Communications –	"Minnetonka, MN"	Est. Salary $53k-$78k	The median pay of $65k is:
2.9	Data Analyst	Change Healthcare –	"Nashville, TN"	Est. Salary $65k-$90k	The median pay of $76k is:
3.2	Data Analyst	TinyCo –	"San Francisco, CA"	Est. Salary $105k-$156k	The median pay of $130k is:
4.6	Business/Data Analyst	"Lorven Technologies, Inc –"	"Jersey City, NJ"	Est. Salary $54k-$82k	The median pay of $66k is:
3.8	Business Data Analyst	Integrity Staffing Solutions –	"Princeton, NJ"	Est. Salary $67k-$102k	The median pay of $83k is:
3.8	Business Data Analyst	Integrity Staffing Solutions –	"Princeton, NJ"	Est. Salary $67k-$102k	The median pay of $83k is:
4.6	Business/Data Analyst	"Lorven Technologies, Inc –"	"Jersey City, NJ"	Est. Salary $54k-$82k	The median pay of $66k is:
3.1	Data Analyst- Summer Technology Internship	Kroger –	"Blue Ash, OH"	Est. Salary $36k-$49k	The median pay of $43k is:
3.5	Data/Intel Analyst Supporting the DEA	Forfeiture Support Associates –	"Grand Rapids, MI"		
3.6	Business Analyst - Flavors Portfolio Data Analytics	Givaudan –	"Cincinnati, OH"	Est. Salary $59k-$89k	The median pay of $73k is:
3.6	Data Analyst	Silver Spring Networks Inc. –	"Escondido, CA"	Est. Salary $56k-$82k	The median pay of $69k is:
3.3	Marketing Data Analyst	Imprivata –	"Lexington, MA"	Est. Salary $51k-$78k	The median pay of $63k is:
3.6	Data Analyst	Quotient Technology Inc. –	"Cincinnati, OH"	Est. Salary $48k-$71k	The median pay of $59k is:
4.9	Data Analyst	Duolingo –	"Pittsburgh, PA"	Est. Salary $55k-$80k	The median pay of $68k is:
3.9	Modeling & Simulation/Data Analyst	Riverside Research Institute –	"Dayton, OH"	Est. Salary $45k-$65k	The median pay of $54k is:
3.3	Data Analyst	Entegris –	"Colorado Springs, CO"	Est. Salary $44k-$64k	The median pay of $53k is:
4.7	Data Analyst	Intercom –	"San Francisco, CA"	Est. Salary $77k-$111k	The median pay of $93k is:
3	Data Analyst	Honeywell –	"Melville, NY"	Est. Salary $51k-$75k	The median pay of $63k is:
4.1	Data Analyst	Twitch –	"San Francisco, CA"	Est. Salary $93k-$138k	The median pay of $114k is:
2.9	Data Analyst	GSN (Game Show Network) –	"Palo Alto, CA"	Est. Salary $83k-$122k	The median pay of $101k is:
3.5	"Intern, Master Data Analyst"	Constellation Brands –	United States	Est. Salary $42k-$58k	The median pay of $49k is:
3.3	Data Analyst	International SOS –	"Trevose, PA"	Est. Salary $44k-$62k	The median pay of $52k is:
3.8	Enterprise Data Governance Analyst	NYU Langone Medical Center –	"New York, NY"		
4.2	Data Analyst	Sequoia –	"San Mateo, CA"	Est. Salary $79k-$114k	The median pay of $95k is:
3.3	Data Analyst	Motorola Solutions –	"Elgin, IL"	Est. Salary $59k-$85k	The median pay of $71k is:
3.9	Data Analyst	Rush University Medical Center –	"Chicago, IL"	Est. Salary $52k-$73k	The median pay of $62k is:
3.6	Data Analyst	Sony PlayStation –	"San Diego, CA"	Est. Salary $68k-$96k	The median pay of $81k is:
3.4	SAP Data Analyst	Sharp Electronics Corporation –	"Montvale, NJ"	Est. Salary $45k-$73k	The median pay of $58k is:
3.6	Data Analyst	Bazaarvoice –	"Austin, TX"	Est. Salary $54k-$81k	The median pay of $67k is:
3	Data Analyst	ScribeAmerica –	"Fort Lauderdale, FL"	Est. Salary $35k-$50k	The median pay of $42k is:
5	Data Analyst 2017 Summer Intern	StrategyWise –	"Birmingham, AL"	Est. Salary $32k-$47k	The median pay of $40k is:
3	Senior Data Analyst	Chobani –	"New York, NY"	Est. Salary $104k-$150k	The median pay of $125k is:
4	Data Analyst	Point72 –	"Stamford, CT"	Est. Salary $72k-$100k	The median pay of $85k is:
3.2	Master Data Analyst	Leprino Foods –	"Denver, CO"	Est. Salary $46k-$68k	The median pay of $56k is:
4.5	"Entry Level Trader - Finance, Data, Analyst - Work Remotely"	Maverick trading –	"El Paso, TX"	Est. Salary $34k-$47k	The median pay of $40k is:
3.5	Data Analyst	CareWorks Technologies –	"Columbus, OH"	Est. Salary $53k-$76k	The median pay of $64k is:
3.8	Data Analyst	Arm Holdings –	"San Jose, CA"	Est. Salary $67k-$97k	The median pay of $82k is:
4.8	Data Analyst Intern	Amplero –	"Seattle, WA"	Est. Salary $38k-$56k	The median pay of $47k is:
4.3	Data Analyst	RED Interactive Agency –	"Santa Monica, CA"	Est. Salary $48k-$72k	The median pay of $60k is:
	Fraud Data Analyst	Signifyd –	"San Jose, CA"	Est. Salary $60k-$93k	The median pay of $75k is:
3.3	Data Analyst	Banner Engineering –	"Plymouth, MN"	Est. Salary $44k-$64k	The median pay of $53k is:
5	Data Analyst	The Dynamic Catholic Institute –	"Cincinnati, OH"	Est. Salary $35k-$57k	The median pay of $45k is:
3.3	Business Systems & Data Analyst	"Air Line Pilots Association, Int'l. –"	"Herndon, VA"	Est. Salary $48k-$70k	The median pay of $58k is:
3.7	Data Quality Analyst	USAA –	"San Antonio, TX"	Est. Salary $65k-$93k	The median pay of $79k is:
3.8	Data Analyst	Genesis10 –	"San Francisco, CA"		
3.7	Data Analyst	USAA –	"San Antonio, TX"	Est. Salary $65k-$93k	The median pay of $79k is:
3.7	Seasonal Performance/Data Analyst Internship - Seattle Mariners	Seattle Mariners –	"Peoria, AZ"	Est. Salary $37k-$54k	The median pay of $45k is:
3.8	Data Analyst	Beacon Resources –	"Westlake Village, Los Angeles, CA"		
2.7	Data Analyst Intern	Brandyourself –	"Lancaster, PA"	Est. Salary $27k-$43k	The median pay of $34k is:
3.5	Data Analyst - Reporting	Universal Service Administrative Company –	"Washington, DC"	Est. Salary $54k-$78k	The median pay of $64k is:
3.4	Data Analyst	Regions Financial Corporation –	"Hoover, AL"	Est. Salary $46k-$64k	The median pay of $54k is:
3.1	Data Analyst	Razer –	"Irvine, CA"	Est. Salary $50k-$77k	The median pay of $64k is:
4	Senior Data Analyst	Glassdoor –	"Mill Valley, CA"	Est. Salary $88k-$132k	The median pay of $109k is:
3.7	Data Analyst	Synopsys –	"Dulles, VA"	Est. Salary $62k-$90k	The median pay of $76k is:
4.1	Data Analyst	University of Colorado –	"Aurora, CO"	Est. Salary $51k-$75k	The median pay of $61k is:
3.4	Chargeback Data Analyst	McKesson –	"Irving, TX"	Est. Salary $43k-$63k	The median pay of $52k is:
4.1	Senior Data Strategy Analysts	UDig –	"New York, NY"	Est. Salary $75k-$106k	The median pay of $92k is:
4.2	Customer Data Analyst I	H E B –	"San Antonio, TX"	Est. Salary $43k-$63k	The median pay of $53k is:
4.3	Data Analyst	Pocket Gems –	"San Francisco, CA"	Est. Salary $70k-$108k	The median pay of $87k is:
4	Data Analyst	LevelUp –	"Boston, MA"	Est. Salary $51k-$75k	The median pay of $63k is:
2.7	Data Analyst	Enterprise Solutions Inc –	"Greenville, SC"		
3.1	"Analyst, Marketing Analytics and Data Consulting"	Havas Media –	"New York, NY"	Est. Salary $58k-$87k	The median pay of $69k is:
3.3	Data Analyst	State Farm –	"Richardson, TX"	Est. Salary $63k-$90k	The median pay of $76k is:
3.9	Data Analyst	HelloWorld –	"Seattle, WA"	Est. Salary $45k-$66k	The median pay of $54k is:
3.7	Data Analyst	SAIC –	"Harrisburg, PA"	Est. Salary $38k-$55k	The median pay of $46k is:
4	Data Analyst	Microsoft –	"Bellevue, WA"	Est. Salary $84k-$122k	The median pay of $101k is:
3.4	Senior Data Analyst	Carroll Hospital Center –	"Westminster, MD"	Est. Salary $62k-$86k	The median pay of $73k is:
3.8	DATA ANALYST III	Computer Task Group –	"Clayton, MO"		
3.5	Data Analyst	Universal Consulting Services –	"San Antonio, TX"		
3.3	"Senior Data Analyst, Product"	Fitbit –	United States	Est. Salary $60k-$84k	The median pay of $71k is:
3.4	Data Analyst Intern	Foot Locker –	"Wausau, WI"	Est. Salary $37k-$51k	The median pay of $44k is:
3.4	Data Analyst Intern	IBM –	"Southbury, CT"	Est. Salary $58k-$85k	The median pay of $71k is:
5	Data Analyst	Singular –	"San Francisco, CA"	Est. Salary $53k-$78k	The median pay of $65k is:
3.4	Data Analyst	Citibank –	"Tampa, FL"	Est. Salary $77k-$105k	The median pay of $90k is:
2.6	Business Data Analyst	FirstCare Health Plans –	"Austin, TX"	Est. Salary $49k-$76k	The median pay of $61k is:
3.8	Geophysical Data Analyst	ENSCO –	"Melbourne, FL"	Est. Salary $43k-$62k	The median pay of $52k is:
4	Data Analyst	Apple –	"Santa Clara, CA"	Est. Salary $71k-$106k	The median pay of $87k is:
3.6	Data Analyst	MAU Workforce Solutions –	"Greenville, SC"		
3.7	Lead Data Warehousing Analyst	AgFirst –	"Columbia, SC"	Est. Salary $67k-$101k	The median pay of $83k is:
4.4	Data Analyst	Sagarsoft –	"Glastonbury, CT"	Est. Salary $71k-$99k	The median pay of $83k is:
3.3	Data Integration Analyst I	Connections Education –	"Columbia, MD"	Est. Salary $39k-$61k	The median pay of $50k is:
3.5	Data Analyst ( Document Specialist ) Supporting the USMS	Forfeiture Support Associates –	"Arlington, VA"	Est. Salary $52k-$76k	The median pay of $63k is:
3	Marketing Data Analyst	Gaia –	"Boulder, CO"	Est. Salary $40k-$64k	The median pay of $50k is:
3.6	Administrative Associate/Data Analyst	NFP –	"New York, NY"	Est. Salary $59k-$91k	The median pay of $74k is:
3.8	Data Analyst	JPS Health Network –	"Fort Worth, TX"	Est. Salary $49k-$69k	The median pay of $58k is:
4.6	Data Analyst	MailChimp –	"Atlanta, GA"	Est. Salary $41k-$60k	The median pay of $50k is:
3.5	Data Analyst	Thales –	"Melbourne, FL"	Est. Salary $44k-$59k	The median pay of $51k is:
4.1	Data Analyst	Hydromax USA –	"Louisville, KY"	Est. Salary $38k-$56k	The median pay of $47k is:
3.7	Data Analyst Internship	"Technomic, Inc. –"	"Chicago, IL"	Est. Salary $35k-$50k	The median pay of $42k is:
5	Data Analyst	LifeEnergy –	"Houston, TX"	Est. Salary $43k-$66k	The median pay of $53k is:
4.2	Data Analyst	Calance US –	"Torrance, CA"		
4.2	Health Data Analyst I or II	Utah Retirement Systems –	"Salt Lake City, UT"	Est. Salary $51k-$75k	The median pay of $63k is:
3.5	Data Analyst	Calence LLC –	"Torrance, CA"	Est. Salary $45k-$73k	The median pay of $58k is:
4	Data Analyst	Cortland Partners –	"Atlanta, GA"	Est. Salary $47k-$69k	The median pay of $58k is:
4.7	Pipeline Data Analyst Level II and III	Brookwoods Group –	"Tulsa, OK"	Est. Salary $43k-$70k	The median pay of $55k is:
3.1	Data Analyst	Iron Mountain Incorporated –	"Boston, MA"	Est. Salary $48k-$70k	The median pay of $58k is:
2.7	Data Analyst	Brookdale Senior Living –	"Nashville, TN"	Est. Salary $45k-$63k	The median pay of $53k is:
2.9	Operations Data Analyst	CSRA –	"San Antonio, TX"	Est. Salary $51k-$69k	The median pay of $59k is:
2.6	Data Analyst	Liquidity Services –	"Houston, TX"	Est. Salary $48k-$71k	The median pay of $58k is:
2.8	Data Security Analyst	Dollar Bank –	"Pittsburgh, PA"	Est. Salary $32k-$60k	The median pay of $44k is:
3	Data Analyst	eviCore healthcare –	"Bluffton, SC"	Est. Salary $47k-$66k	The median pay of $55k is:
4.1	Data Analyst	Hydromax USA –	"Louisville, KY"	Est. Salary $38k-$56k	The median pay of $47k is:
3.5	Senior Data Risk Analyst	Yelp –	"San Francisco, CA"	Est. Salary $72k-$114k	The median pay of $91k is:
4.6	Data Analyst	Healthcare Association of New York State –	"Hauppauge, NY"	Est. Salary $42k-$60k	The median pay of $50k is:
3.2	Data Analyst	Kum & Go –	"West Des Moines, IA"	Est. Salary $36k-$52k	The median pay of $44k is:
2.2	Data Analyst	Chromalloy Gas Turbine –	"Palm Beach Gardens, FL"	Est. Salary $50k-$74k	The median pay of $61k is:
3.3	Data Analyst	Rise Interactive –	"Chicago, IL"	Est. Salary $41k-$60k	The median pay of $50k is:
4	Lead Data Analyst	BBG Management –	"Cambridge, MA"	Est. Salary $57k-$83k	The median pay of $69k is:
4	Senior Consulting Data Analyst	KAISER –	"Oakland, CA"	Est. Salary $69k-$96k	The median pay of $81k is:
3.6	Data Security Analyst	Travelers Companies –	"Hartford, CT"	Est. Salary $53k-$93k	The median pay of $70k is:
3.1	Data Analyst	Assurant –	"Miami, FL"	Est. Salary $52k-$76k	The median pay of $63k is:
3.8	Data Systems Analyst	Genesis10 –	"Richfield, MN"		
2.9	Data Analyst	GSN –	"Palo Alto, CA"	Est. Salary $83k-$122k	The median pay of $101k is:
5	Data Analyst	"Celerity Systems, Inc. –"	"Richmond, VA"	Est. Salary $52k-$73k	The median pay of $62k is:
3.8	Business Insights Analyst - Quality Data	Pabst Brewing Company –	"Dallas, TX"		
2.6	Data Analyst	Fidelitone –	"Wauconda, IL"	Est. Salary $46k-$67k	The median pay of $56k is:
2.5	Data Analyst	DISH Network Corporation –	"New York, NY"	Est. Salary $53k-$83k	The median pay of $66k is:
3.4	Data Scientist - Data Analyst	Synchronoss Technologies –	"Reston, VA"	Est. Salary $95k-$135k	The median pay of $113k is:
2.7	Data Analyst	Robert Half Technology –	"Iselin, NJ"	Est. Salary $52k-$83k	The median pay of $67k is:
	Data Analyst	ITR (Information Technology Resources) –	"Knoxville, TN"		
3.5	Staff Data Operations Analyst	Charles Schwab –	"Chicago, IL"	Est. Salary $46k-$64k	The median pay of $54k is:
3.6	Business Analyst - Flavors Portfolio Data Analytics	Givaudan –	"Cincinnati, OH"	Est. Salary $59k-$89k	The median pay of $73k is:
4	Data Analyst	Point72 –	"Stamford, CT"	Est. Salary $72k-$100k	The median pay of $85k is:
3.9	"Analyst, Advanced Data Insights"	HomeAway –	"Austin, TX"	Est. Salary $69k-$107k	The median pay of $85k is:
4.3	Data Analyst	Stanford University –	"Stanford, CA"	Est. Salary $55k-$87k	The median pay of $70k is:
3.7	Sr. Data Analyst	Care.com –	"Waltham, MA"	Est. Salary $57k-$84k	The median pay of $70k is:
4.6	Data Protection Analyst	Eliassen Group –	"New Britain, CT"		
3.4	Senior BI Data Analyst	Axelerate –	"Bellevue, WA"		
3.3	Business Data Analyst	Appriss Careers :: Current –	"Louisville, KY"	Est. Salary $36k-$54k	The median pay of $44k is:
3.9	Data Analyst	Grant Thornton –	"Washington, DC"	Est. Salary $65k-$93k	The median pay of $77k is:
3.6	"Data Analyst, IMD"	Coach –	"New York, NY"	Est. Salary $55k-$86k	The median pay of $70k is:
3.6	Data Operations Analyst - NYC	Bloomberg –	"New York, NY"	Est. Salary $69k-$94k	The median pay of $80k is:
3	Data Analyst (NYC)	CitiMortgage –	"New York, NY"	Est. Salary $44k-$64k	The median pay of $54k is:
3.3	Data Analyst	Randstad US –	"Daly City, CA"		
3.6	Data Analyst - Senior level	Progressive Insurance –	"Highland Heights, Cuyahoga, OH"	Est. Salary $69k-$98k	The median pay of $82k is:
4.6	Data Analyst	Enjoy –	"Menlo Park, CA"	Est. Salary $54k-$80k	The median pay of $66k is:
3.9	Data Analyst Intern	Sorenson Communication –	"Salt Lake City, UT"	Est. Salary $30k-$43k	The median pay of $36k is:
3.6	Product Data Analyst	Perfect World Entertainment –	"Redwood City, CA"	Est. Salary $56k-$88k	The median pay of $71k is:
3.3	Sr. Analyst-Master Data Management	Driscoll's –	"Watsonville, CA"	Est. Salary $71k-$99k	The median pay of $81k is:
	Data Analyst	EDQ –	"Lincoln, NE"		
3.7	Data Analyst	MOUNTAIN LTD. –	"Chicago, IL"		
3.9	Data Analyst	Bayview Financial –	"Coral Gables, FL"	Est. Salary $42k-$59k	The median pay of $50k is:
3.2	Senior Data Analyst (TV)	comScore –	"Portland, OR"	Est. Salary $62k-$86k	The median pay of $74k is:
3.2	Data Management Analyst	CNA –	"Chicago, IL"	Est. Salary $73k-$102k	The median pay of $85k is:
4.9	Data Analyst	Datadog –	"New York, NY"	Est. Salary $58k-$85k	The median pay of $71k is:
3.4	Data Analyst	AssetMark –	"Concord, CA"	Est. Salary $56k-$80k	The median pay of $67k is:
4	Data Analyst	Edmodo –	"San Mateo, CA"	Est. Salary $68k-$99k	The median pay of $83k is:
3.4	Data Analyst	GE Oil & Gas –	"Houston, TX"	Est. Salary $53k-$76k	The median pay of $64k is:
3	Data Analyst	Arconic –	"Cleveland, OH"	Est. Salary $44k-$84k	The median pay of $62k is:
4.8	Data Analyst	"Orbis, Inc. –"	"Washington, DC"	Est. Salary $51k-$73k	The median pay of $61k is:
2.8	Data Security Analyst	Dollar Bank –	"Pittsburgh, PA"	Est. Salary $32k-$60k	The median pay of $44k is:
3.5	Data Analyst	Culver's –	"Prairie du Sac, WI"	Est. Salary $33k-$47k	The median pay of $39k is:
3.3	Data Analyst	Akorbi –	"Mountain View, CA"	Est. Salary $47k-$74k	The median pay of $59k is:
	Data Analyst	Sense360 –	"Culver City, CA"		
3.6	Data Analyst	EZLynx –	"Lewisville, TX"	Est. Salary $43k-$64k	The median pay of $53k is:
3.7	Data Analyst	Fahrenheit IT –	"Princeton, NJ"		
	Data Analyst	Bluegrasscoms –	"Newbury, MA"	Est. Salary $48k-$91k	The median pay of $67k is:
3.1	Sr. Configuration/Data Management Analyst	Alion –	"Bath, ME"	Est. Salary $59k-$83k	The median pay of $70k is:
4.1	Marketing Data Analyst	Voxbone –	"San Francisco, CA"	Est. Salary $48k-$76k	The median pay of $61k is:
3.2	Senior Data Analyst	comScore –	"Boston, MA"	Est. Salary $62k-$87k	The median pay of $75k is:
3.4	Financial Data Quality Assurance Analyst	MSCI Inc. –	"Norman, OK"	Est. Salary $41k-$69k	The median pay of $53k is:
2.8	Data Mining Analyst	CityMD –	"Seattle, WA"	Est. Salary $46k-$65k	The median pay of $54k is:
1.8	Data Analyst IV	Apex Life Sciences –	"South San Francisco, CA"	Est. Salary $92k-$164k	The median pay of $125k is:
4.4	Data Analyst	Insight Global –	"Bridgewater, NJ"		
2.8	Data Quality Analyst	Pacific Pulmonary Services –	"Novato, CA"	Est. Salary $61k-$86k	The median pay of $73k is:
3.5	Data Management/Implementation Analyst	"Certent, Inc –"	"Roseville, CA"	Est. Salary $38k-$56k	The median pay of $47k is:
3.7	Data Insights Analyst	Yahoo –	"San Francisco, CA"		
3.4	Business/Data Analyst	US Bank –	"Charlotte, NC"	Est. Salary $46k-$73k	The median pay of $57k is:
5	Data Analyst	OPENMAIL –	"Bellevue, WA"	Est. Salary $48k-$74k	The median pay of $60k is:
3.7	Data Deployment - Functional Analyst*	3M Companies –	"Maplewood, MN"	Est. Salary $70k-$105k	The median pay of $84k is:
4.9	Data Analyst	HouseCanary –	"San Francisco, CA"	Est. Salary $58k-$91k	The median pay of $73k is:
3	Business Data Analyst	Telesis –	"Lincoln, NE"	Est. Salary $40k-$64k	The median pay of $51k is:
3.2	Statistical Data Analyst	Preferred Mutual –	"New Berlin, NY"	Est. Salary $48k-$66k	The median pay of $56k is:
4.6	Data/Process Analyst	Centric Consulting –	"Tampa, FL"	Est. Salary $41k-$64k	The median pay of $51k is:
3.9	Data Analyst	TechnaLink –	"Herndon, VA"		
4	Data Analyst	Collibra –	"New York, NY"	Est. Salary $49k-$77k	The median pay of $62k is:
4.6	Data Analyst	Kasasa –	"Austin, TX"	Est. Salary $41k-$60k	The median pay of $50k is:
	Graduate Intern - Jr Data Analyst	AccessLex Institute –	"West Chester, PA"		
2.5	Data Analyst	PharMerica –	"Louisville, KY"	Est. Salary $44k-$62k	The median pay of $52k is:
3.2	Sr Claims Data Analyst	Esurance –	"Rocklin, CA"	Est. Salary $68k-$97k	The median pay of $83k is:
2.7	Data / Process Analyst	Robert Half Technology –	"Beachwood, OH"	Est. Salary $43k-$68k	The median pay of $54k is:
	Data Analyst	Kinnek –	"New York, NY"	Est. Salary $49k-$77k	The median pay of $62k is:
4.1	Data Analyst/Modeler	Atlas Research –	"Washington, DC"	Est. Salary $60k-$85k	The median pay of $72k is:
2.5	Sr. Data Analyst	WebMD –	"New York, NY"	Est. Salary $87k-$121k	The median pay of $103k is:
4.4	Data Analyst	Ampcus Inc –	"Richardson, TX"	Est. Salary $47k-$71k	The median pay of $58k is:
3.5	Data Migration/Integration Analyst - Roseville or Remote	"Certent, Inc –"	"Roseville, CA"	Est. Salary $40k-$61k	The median pay of $50k is:
4.7	Data Analyst	ThousandEyes –	"San Francisco, CA"	Est. Salary $64k-$93k	The median pay of $79k is:
4.5	Data Analyst	"PROGRAMMER RESOURCES INTERNATIONAL, INC –"	"Tampa, FL"	Est. Salary $43k-$61k	The median pay of $51k is:
2.6	Data Marketing Analyst	TBWA \ Chiat \ Day –	"New York, NY"	Est. Salary $43k-$66k	The median pay of $53k is:
4	Data Analyst / Data Scientist	Rent the Runway –	"New York, NY"	Est. Salary $65k-$99k	The median pay of $81k is:
4.5	Data Analyst	Green Key Resources –	"Chicago, IL"		
3.6	Data Analyst	Accountemps –	"Plainview, NY"		
4	Data Analyst :: SS	"ReqRoute,Inc –"	"Tampa, FL"		
3.5	Data Analyst	Alpena Regional Medical Center –	"Lafayette, CA"	Est. Salary $55k-$79k	The median pay of $66k is:
4.5	"Course Developer, Data Analyst"	Udacity –	"Mountain View, CA"	Est. Salary $88k-$125k	The median pay of $106k is:
5	Data Analyst	New Iron –	"Austin, TX"		
4.2	Data Analyst & Marketing Intern	LiveAuctioneers –	"New York, NY"	Est. Salary $42k-$66k	The median pay of $53k is:
3.6	Data Analyst Intern	EZLynx –	"Lewisville, TX"	Est. Salary $38k-$55k	The median pay of $46k is:
3.7	Data Analyst	Renaissance Learning –	"Wisconsin Rapids, WI"	Est. Salary $37k-$54k	The median pay of $45k is:
3.4	"Data Analyst, Strategy & Measurement"	The Bill & Melinda Gates Foundation –	"Seattle, WA"	Est. Salary $58k-$85k	The median pay of $71k is:
